 0.082168  0.183094  0.067613 0.036015 0.033370 0.035551   40.554251   37.471017   60.147300
 0.076963  0.196035  0.065293 0.036115 0.032469 0.032166   41.417387   38.218001   60.936648
 0.081143  0.191550  0.067930 0.034269 0.037198 0.034689   41.346708   38.656055   62.128479
 0.077905  0.182164  0.067305 0.036007 0.035612 0.033109   41.901500   39.535158   62.957480
 0.078296  0.178824  0.073428 0.036487 0.033079 0.033552   42.719057   39.840646   63.755699
 0.081630  0.185536  0.072585 0.037149 0.033214 0.033894   43.548277   40.360178   64.643064
 0.076925  0.181718  0.090897 0.035890 0.033147 0.033768   44.494600   40.529163   64.561279
 0.077038  0.182622  0.082393 0.036828 0.034198 0.033820   45.053470   41.376324   65.102909
 0.076142  0.187052  0.088983 0.036449 0.034723 0.033632   45.521696   41.833227   66.554844
 0.074837  0.205111  0.084945 0.036000 0.033332 0.032578   46.318111   41.741743   67.282112
 0.078332  0.196738  0.081896 0.033518 0.034776 0.033084   46.650295   42.271572   67.858445
 0.074290  0.200445  0.087433 0.035177 0.034453 0.033614   47.107982   43.019969   67.956773
 0.084107  0.196951  0.084099 0.037293 0.035012 0.034440   47.811459   43.552908   68.761068
 0.078080  0.193134  0.087371 0.034430 0.031956 0.033917   48.407667   43.671950   69.580020
 0.078410  0.200220  0.090101 0.035302 0.033936 0.031729   48.589577   43.723065   70.805810
 0.089991  0.198904  0.093858 0.035971 0.032520 0.035058   49.250421   44.084425   72.105720
 0.089134  0.216548  0.087116 0.034990 0.034635 0.033587   49.914036   44.612181   72.832964
 0.083497  0.221304  0.093305 0.037404 0.036864 0.033359   49.871627   45.221981   73.576547
 0.089437  0.223428  0.094871 0.036534 0.033064 0.033122   50.668927   46.001124   74.453192
 0.087082  0.227672  0.101395 0.037543 0.034553 0.034307   51.201537   46.187667   75.366932
 0.087943  0.235313  0.102386 0.038435 0.033325 0.034688   51.874515   46.975303   76.090849
 0.091995  0.229719  0.109515 0.040955 0.036294 0.035193   52.572067   47.456830   76.702393
 0.089206  0.226790  0.108121 0.033439 0.035641 0.034767   53.318775   48.047419   77.085965
 0.083496  0.229670  0.105549 0.036214 0.033350 0.031671   53.723217   48.554396   77.878877
 0.094684  0.233996  0.101784 0.037950 0.034091 0.032498   54.783514   48.604245   79.171759
 0.096515  0.234439  0.103602 0.041221 0.033531 0.033098   55.218917   49.331255   79.688089
 0.092178  0.234876  0.103660 0.036664 0.035909 0.032723   56.119299   49.525280   79.942489
 0.089433  0.220157  0.109595 0.036730 0.033466 0.033207   56.800919   50.416625   81.045008
 0.089274  0.234968  0.104991 0.037124 0.036092 0.034629   57.304438   51.111293   82.379356
 0.088593  0.219017  0.102690 0.036124 0.035727 0.032352   57.835667   51.524323   83.064910
 0.089361  0.233515  0.113628 0.038319 0.033969 0.035187   58.331124   51.967157   83.750798
 0.091998  0.234520  0.113625 0.035641 0.033678 0.034583   58.957018   52.641329   83.907322
 0.097275  0.224851  0.122159 0.036782 0.034294 0.035340   59.426597   52.774855   84.381934
 0.092131  0.227870  0.117517 0.035680 0.034114 0.034871   59.648678   53.525748   85.920555
 0.086674  0.240072  0.115578 0.036546 0.034723 0.034752   60.287631   53.760691   87.969773
 0.099978  0.241779  0.126129 0.038645 0.035454 0.036340   61.252232   54.576592   89.037719
 0.094638  0.231568  0.120033 0.037223 0.035222 0.032093   61.769569   55.239922   89.799936
 0.101148  0.233480  0.120771 0.036231 0.035784 0.034629   62.260243   55.281916   90.670592
 0.100637  0.236170  0.127951 0.038437 0.035130 0.033480   62.466153   56.133776   91.867029
 0.103144  0.230473  0.136560 0.037317 0.035331 0.036490   62.905076   56.714927   92.575618
 0.109380  0.251637  0.139973 0.036920 0.033908 0.032946   62.445418   57.158194   93.673233
 0.115754  0.277766  0.136247 0.036634 0.035222 0.037525   63.579137   58.028560   94.839012
 0.111510  0.272019  0.135975 0.036513 0.036057 0.034491   64.598004   58.092829   95.686890
 0.111103  0.288255  0.135786 0.037585 0.033097 0.034611   65.207728   58.572257   96.395056
 0.114214  0.288100  0.136473 0.038432 0.033758 0.033326   66.007188   59.212701   97.081778
 0.120261  0.293248  0.136697 0.036148 0.032057 0.034613   67.025084   59.351553   98.714676
 0.118697  0.284480  0.137644 0.040098 0.033996 0.033372   67.665519   59.771220   99.391995
 0.112371  0.303316  0.131585 0.037518 0.035140 0.032418   68.255512   60.378540  100.415654
 0.115942  0.294693  0.138420 0.037625 0.035856 0.033630   69.191637   60.385095  101.194554
 0.113655  0.315091  0.138639 0.038314 0.035457 0.034628   70.048594   60.900460  101.183938
 0.123878  0.323940  0.142261 0.036064 0.033706 0.033179   71.139950   61.319125  102.319947
 0.120951  0.319699  0.135113 0.037968 0.033994 0.033864   71.591454   61.739254  103.068859
 0.119912  0.328096  0.134634 0.038838 0.036426 0.034080   72.356006   62.739377  105.129395
