0.021735 0.024738 0.017977 0.021951 0.020454 0.022242   3.977531   3.732341   7.661730
0.022319 0.025408 0.018810 0.022231 0.020973 0.023297   4.019615   3.782799   7.761120
0.020947 0.025276 0.019732 0.021304 0.020664 0.023077   4.171675   3.964556   7.908220
0.022497 0.027214 0.019970 0.021497 0.021303 0.024197   4.274413   4.099447   8.224032
0.021909 0.025047 0.018322 0.021799 0.020268 0.022267   4.369584   4.230784   8.509198
0.023336 0.027235 0.019263 0.022464 0.021667 0.022682   4.533050   4.349758   8.690075
0.022558 0.026449 0.019226 0.021543 0.021649 0.023199   4.733532   4.507201   8.866609
0.021737 0.026396 0.018216 0.020822 0.020542 0.024001   4.895562   4.577174   9.191912
0.023038 0.026425 0.017882 0.022978 0.021663 0.021940   5.013271   4.730616   9.507716
0.021010 0.024214 0.019722 0.021098 0.020064 0.023347   5.132228   4.865065   9.857633
0.022977 0.025587 0.020886 0.021069 0.021485 0.025477   5.362042   5.025825  10.155510
0.020889 0.024638 0.019207 0.020862 0.020636 0.024424   5.578522   5.086376  10.214790
0.021362 0.025174 0.017881 0.020833 0.021211 0.022585   5.533169   5.152655  10.326240
0.022116 0.025359 0.020100 0.021539 0.021812 0.023898   5.638551   5.340896  10.453563
0.021943 0.025445 0.020368 0.021410 0.022044 0.023582   5.815688   5.353267  10.710389
0.022057 0.025025 0.018648 0.021390 0.022256 0.023621   5.979910   5.434620  10.825301
0.022404 0.025306 0.018115 0.020314 0.021267 0.022010   6.068910   5.639308  11.035023
0.021859 0.024047 0.019586 0.021219 0.019464 0.022832   6.215961   5.812450  11.233643
0.021261 0.025807 0.018356 0.020485 0.021329 0.023766   6.297326   5.850900  11.432934
0.022041 0.023509 0.017965 0.021168 0.021014 0.022160   6.430151   5.979634  11.683428
0.021375 0.024275 0.018763 0.020791 0.021913 0.022227   6.584074   6.087612  11.867896
0.022096 0.024987 0.017648 0.021657 0.021012 0.022067   6.678084   6.100828  12.208189
0.021865 0.023670 0.019237 0.021224 0.019915 0.024280   6.818826   6.271163  12.459363
0.022498 0.025162 0.017877 0.021785 0.020642 0.022636   7.041099   6.427367  12.661877
0.022866 0.024837 0.018975 0.022092 0.020401 0.023034   7.074174   6.559031  12.830459
0.021640 0.025882 0.017161 0.021202 0.021537 0.021647   7.187508   6.616718  13.229314
0.023930 0.024634 0.017853 0.022770 0.020304 0.021450   7.379091   6.732011  13.579691
0.022384 0.025890 0.018375 0.021811 0.021083 0.021969   7.476286   6.808313  13.767480
0.021807 0.024547 0.017838 0.021136 0.021363 0.022346   7.611065   6.856521  14.042684
0.021317 0.026446 0.018464 0.022118 0.021721 0.022521   7.683660   6.992283  14.466291
0.022377 0.025419 0.019062 0.021394 0.021191 0.022806   7.871643   7.073790  14.650655
0.023766 0.026219 0.018718 0.021665 0.021269 0.023118   7.950612   7.101482  14.954963
0.022459 0.025387 0.019233 0.020806 0.020854 0.022619   8.167200   7.259813  15.138750
0.022831 0.023552 0.018165 0.023277 0.021406 0.022403   8.299102   7.457956  15.228089
0.022334 0.023768 0.018322 0.021677 0.020491 0.022909   8.481608   7.414425  15.463256
0.022716 0.026503 0.019274 0.022110 0.020914 0.023337   8.681275   7.523683  15.641319
0.022138 0.024809 0.018688 0.021759 0.021114 0.023072   8.758524   7.586964  15.671397
