0.014799 0.015375 0.012442 0.014366 0.013619 0.015630 0.070498 0.079365  0.144229
0.015985 0.015239 0.012522 0.015173 0.013343 0.014794 0.072628 0.077572  0.139845
0.013977 0.015837 0.012885 0.013869 0.013954 0.015264 0.072659 0.083220  0.147330
0.014705 0.015163 0.012487 0.014892 0.013199 0.015593 0.078719 0.074386  0.154253
0.013716 0.015218 0.011564 0.014039 0.013095 0.015354 0.077113 0.075884  0.152664
0.014478 0.015517 0.013197 0.014986 0.013528 0.016454 0.083415 0.078418  0.157917
0.014576 0.016003 0.012781 0.014169 0.013170 0.015947 0.089553 0.081457  0.149432
0.014090 0.014960 0.012986 0.014771 0.012707 0.015992 0.081129 0.082548  0.157610
0.013322 0.014828 0.013748 0.013855 0.013255 0.016353 0.093132 0.082624  0.168551
0.014840 0.014882 0.013107 0.014166 0.013280 0.016716 0.099278 0.080729  0.173541
0.013715 0.015316 0.012073 0.013872 0.013041 0.015203 0.107510 0.085058  0.184425
0.013608 0.013965 0.012729 0.013928 0.012841 0.015638 0.112940 0.088304  0.170307
0.014099 0.014528 0.012557 0.013669 0.012282 0.015247 0.106142 0.091925  0.174389
0.014436 0.015169 0.011801 0.013694 0.013075 0.014157 0.100578 0.103128  0.166084
0.013030 0.014866 0.013074 0.012862 0.012850 0.015205 0.105620 0.098128  0.175882
0.013445 0.014418 0.012567 0.013025 0.012432 0.016042 0.105395 0.100540  0.183509
0.013686 0.014756 0.011295 0.014022 0.012427 0.014432 0.103193 0.102256  0.201200
0.013611 0.015887 0.012397 0.014282 0.013890 0.015588 0.105912 0.104211  0.210787
0.015483 0.015844 0.012426 0.014860 0.013983 0.014995 0.108967 0.108634  0.221237
0.013933 0.015758 0.011689 0.013756 0.013130 0.014735 0.116396 0.104419  0.225077
0.014596 0.014523 0.012287 0.014741 0.012568 0.015687 0.107007 0.104662  0.214984
0.014262 0.015186 0.011910 0.013505 0.012395 0.014775 0.109311 0.104082  0.214222
0.013362 0.015157 0.012979 0.013210 0.013068 0.015749 0.112210 0.108239  0.225153
0.014399 0.014828 0.012649 0.013696 0.013699 0.015231 0.113740 0.106223  0.229774
0.014868 0.015319 0.012358 0.014033 0.013556 0.015313 0.113699 0.113170  0.230267
0.013762 0.015706 0.012791 0.013285 0.013310 0.015319 0.112177 0.115699  0.234744
0.013915 0.014409 0.012807 0.014155 0.013831 0.016139 0.116608 0.108694  0.235713
0.014111 0.014015 0.012551 0.013550 0.013211 0.014613 0.116983 0.114607  0.228431
0.014291 0.015366 0.013431 0.014574 0.012586 0.015311 0.127763 0.123968  0.239937
0.013836 0.014954 0.012189 0.013921 0.012209 0.015167 0.122334 0.113647  0.258278
0.014439 0.014563 0.011976 0.014434 0.012877 0.014381 0.124614 0.115370  0.277722
0.013404 0.015031 0.011402 0.013252 0.012941 0.015217 0.123666 0.118722  0.282997
0.014456 0.014708 0.012031 0.014107 0.013150 0.014961 0.132153 0.124390  0.284024
0.014047 0.015185 0.012667 0.013385 0.012411 0.014914 0.126572 0.122127  0.284618
0.013670 0.015322 0.011750 0.013768 0.013160 0.014701 0.127991 0.131515  0.293609
0.013887 0.015772 0.011971 0.014145 0.013557 0.015146 0.127852 0.129433  0.299278
0.014734 0.014753 0.012138 0.014147 0.013823 0.014323 0.137957 0.128489  0.289319
0.013797 0.015107 0.012574 0.014442 0.012841 0.015319 0.127720 0.132469  0.311766
0.013562 0.014100 0.012429 0.013818 0.012920 0.014936 0.135018 0.135407  0.311839
0.014380 0.015886 0.011837 0.013766 0.014000 0.014644 0.141343 0.150212  0.313058
0.014874 0.016112 0.012166 0.014311 0.013836 0.014295 0.143207 0.134055  0.325769
0.014690 0.015709 0.012862 0.013989 0.013755 0.015774 0.156386 0.147867  0.336466
0.014313 0.016110 0.012684 0.013778 0.013889 0.015653 0.158074 0.162610  0.349646
0.014059 0.015173 0.011939 0.013771 0.013409 0.014865 0.170128 0.173290  0.358071
0.013887 0.016453 0.012280 0.013230 0.013321 0.014950 0.171233 0.181006  0.361800
0.015096 0.014228 0.012493 0.014013 0.012467 0.014952 0.171581 0.175547  0.360480
0.014148 0.016352 0.012086 0.013513 0.013723 0.014976 0.173359 0.181204  0.358944
0.013355 0.015280 0.012952 0.014150 0.012866 0.015244 0.173768 0.181363  0.384126
0.013121 0.015678 0.012235 0.013530 0.013870 0.015532 0.166424 0.185496  0.394581
0.013898 0.015278 0.012081 0.013334 0.012904 0.015090 0.174563 0.186721  0.388770
0.013075 0.015245 0.010860 0.013347 0.013501 0.014595 0.174744 0.178662  0.402581
0.013908 0.014966 0.012211 0.013217 0.012497 0.015061 0.179872 0.183433  0.407422
0.013491 0.014580 0.012231 0.013766 0.012298 0.015106 0.178353 0.190187  0.397492
0.013173 0.014871 0.012782 0.013323 0.013431 0.014912 0.181845 0.185030  0.417987
0.013283 0.014441 0.012090 0.013532 0.013364 0.014628 0.181290 0.194104  0.425759
0.013614 0.015181 0.012431 0.013254 0.012923 0.015151 0.182354 0.201150  0.416702
0.014881 0.015522 0.012455 0.013345 0.013749 0.015091 0.179763 0.193441  0.430389
0.014086 0.015457 0.011886 0.013842 0.013443 0.015207 0.186490 0.194423  0.425085
0.013804 0.015688 0.012194 0.014063 0.013619 0.015253 0.192903 0.195963  0.420781
0.013794 0.014710 0.011797 0.013522 0.013059 0.014707 0.187784 0.197440  0.415246
0.014549 0.015567 0.011849 0.014011 0.012511 0.015177 0.187574 0.188058  0.443549
0.014489 0.014721 0.013184 0.013938 0.013691 0.015647 0.196522 0.191999  0.433311
0.013775 0.014631 0.013423 0.014213 0.012589 0.015711 0.207169 0.197679  0.465584
0.013653 0.014111 0.011588 0.013893 0.012993 0.015048 0.209048 0.197905  0.442939
0.012811 0.014440 0.012082 0.013131 0.012244 0.015123 0.216564 0.199364  0.467168
0.013632 0.014470 0.011596 0.013198 0.012564 0.014626 0.219454 0.198974  0.464769
0.014129 0.014739 0.012043 0.013525 0.012391 0.015405 0.214682 0.199575  0.467819
0.014133 0.014618 0.011790 0.013388 0.012219 0.015514 0.226509 0.200566  0.483448
0.012600 0.014706 0.011718 0.012664 0.012808 0.014059 0.221601 0.213480  0.490533
