# Time-averaged data for fix rdf_all
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
1000000 500
411 4.105 0.807588 41.3425
412 4.115 0.836267 41.6226
413 4.125 0.865394 41.9139
414 4.135 0.895704 42.2168
415 4.145 0.925796 42.5315
416 4.155 0.955466 42.8578
417 4.165 0.9841 43.1954
418 4.175 1.01071 43.5439
419 4.185 1.03545 43.9027
420 4.195 1.05767 44.2709
421 4.205 1.07666 44.6474
422 4.215 1.093 45.0316
423 4.225 1.10574 45.422
424 4.235 1.11476 45.8175
425 4.245 1.11997 46.2167
426 4.255 1.12038 46.618
427 4.265 1.11682 47.0198
428 4.275 1.11018 47.4212
429 4.285 1.10147 47.8212
430 4.295 1.09128 48.2195
431 4.305 1.08143 48.6159
432 4.315 1.07464 49.0117
433 4.325 1.07139 49.4082
434 4.335 1.07431 49.8075
435 4.345 1.08282 50.2119
436 4.355 1.09567 50.623
437 4.365 1.11237 51.0422
438 4.375 1.13041 51.4702
439 4.385 1.14677 51.9064
440 4.395 1.1589 52.3492
441 4.405 1.16492 52.7963
442 4.415 1.16394 53.2451
443 4.425 1.15529 53.6926
444 4.435 1.14034 54.1363
445 4.445 1.12093 54.5744
446 4.455 1.09988 55.0062
447 4.465 1.07907 55.4318
448 4.475 1.06077 55.852
449 4.485 1.04754 56.2688
450 4.495 1.03989 56.6844
451 4.505 1.03822 57.1012
452 4.515 1.04201 57.5214
453 4.525 1.05077 57.947
454 4.535 1.06282 58.3794
455 4.545 1.07734 58.8196
456 4.555 1.09375 59.2685
457 4.565 1.11097 59.7265
458 4.575 1.12952 60.1941
459 4.585 1.14919 60.672
460 4.595 1.17047 61.1609
461 4.605 1.19348 61.6615
462 4.615 1.21781 62.1746
463 4.625 1.2425 62.7003
464 4.635 1.26653 63.2386
465 4.645 1.28815 63.7884
466 4.655 1.30566 64.348
467 4.665 1.31725 64.9151
468 4.675 1.32152 65.4864
469 4.685 1.31749 66.0584
470 4.695 1.30464 66.6273
471 4.705 1.28352 67.1894
472 4.715 1.2558 67.7416
473 4.725 1.22324 68.2818
474 4.735 1.18728 68.8084
475 4.745 1.15064 69.3209
476 4.755 1.11472 69.8194
477 4.765 1.0818 70.3053
478 4.775 1.05334 70.7804
479 4.785 1.03083 71.2473
480 4.795 1.01561 71.7092
481 4.805 1.00731 72.1692
482 4.815 1.0073 72.6312
483 4.825 1.01488 73.0985
484 4.835 1.02948 73.5746
485 4.845 1.0496 74.062
486 4.855 1.0721 74.5619
487 4.865 1.0938 75.074
488 4.875 1.11085 75.5962
489 4.885 1.12006 76.1249
490 4.895 1.11833 76.655
491 4.905 1.10393 77.1804
492 4.915 1.07643 77.6947
493 4.925 1.03744 78.1925
494 4.935 0.989862 78.6694
495 4.945 0.938173 79.1232
496 4.955 0.887543 79.5542
497 4.965 0.842949 79.9653
498 4.975 0.810328 80.362
499 4.985 0.793532 80.7521
500 4.995 0.795692 81.1448
